epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1400.54,1.37393,2.46115,2.20557,0.01555,0.59792,0.44063,0.23456,0.22723,0.11966,0.42989,0.23624,0.21867,0.09786,1.7737,3.49235,3.01879,0.02843,0,0.00036635,0.00036635,0.00036635
29,1450.01,1.37405,2.55232,2.09193,0.01435,0.57121,0.50593,0.22522,0.22698,0.12381,0.4726,0.22034,0.21371,0.10115,1.8107,3.41922,2.88923,0.02933,0,0.0003614,0.0003614,0.0003614
30,1499.41,1.33532,2.41461,1.99329,0.01473,0.53382,0.4574,0.23689,0.24389,0.13892,0.44896,0.22652,0.22574,0.10366,1.7618,3.43027,2.81742,0.02817,0,0.00035645,0.00035645,0.00035645
31,1547.92,1.35068,2.49178,2.04897,0.015,0.5872,0.39087,0.25619,0.22864,0.12603,0.38524,0.2472,0.21578,0.09991,1.76235,3.32985,2.93021,0.02814,0,0.0003515,0.0003515,0.0003515
32,1597.26,1.3459,2.36181,1.91638,0.01632,0.53862,0.47177,0.23227,0.22249,0.13076,0.45882,0.22824,0.21501,0.10667,1.76251,3.42346,3.01391,0.02826,0,0.00034655,0.00034655,0.00034655
33,1647.19,1.37683,2.38128,1.9852,0.01435,0.5469,0.48178,0.2818,0.25002,0.13428,0.47129,0.26503,0.23289,0.11011,1.81814,3.38739,2.88658,0.02951,0,0.0003416,0.0003416,0.0003416
34,1696.2,1.37216,2.39165,2.01524,0.01464,0.53659,0.39919,0.28076,0.2529,0.14256,0.3897,0.27148,0.23884,0.11598,1.77808,3.54411,2.87067,0.02818,0,0.00033665,0.00033665,0.00033665
35,1745.42,1.31836,2.29837,1.81769,0.01568,0.49617,0.49831,0.24275,0.22918,0.12571,0.50193,0.23477,0.22213,0.10003,1.80604,3.47785,2.96332,0.02877,0,0.0003317,0.0003317,0.0003317
36,1794.19,1.34125,2.32382,1.8331,0.0137,0.51067,0.45875,0.25464,0.23927,0.13146,0.42387,0.26057,0.22259,0.10654,1.83182,3.4372,3.03559,0.02968,0,0.00032675,0.00032675,0.00032675
37,1842.03,1.33745,2.30492,1.89682,0.01496,0.52642,0.42397,0.26902,0.24274,0.13548,0.40464,0.26588,0.22352,0.10967,1.78846,3.50348,3.08285,0.02845,0,0.0003218,0.0003218,0.0003218
38,1890.94,1.34501,2.32453,1.79949,0.01455,0.48122,0.52523,0.24039,0.25121,0.14136,0.51816,0.23529,0.23722,0.11178,1.78753,3.51,2.95288,0.02865,0,0.00031685,0.00031685,0.00031685
39,1940.53,1.30331,2.25604,1.76628,0.01393,0.46612,0.44649,0.2644,0.2325,0.12433,0.43006,0.25753,0.21799,0.09781,1.79082,3.5334,2.90389,0.02889,0,0.0003119,0.0003119,0.0003119
40,1989.28,1.33918,2.32115,1.87091,0.0134,0.49925,0.50985,0.24254,0.23592,0.13147,0.49829,0.23304,0.22301,0.10977,1.78645,3.44903,3.07669,0.02841,0,0.00030695,0.00030695,0.00030695
41,2038.94,1.28574,2.23385,1.73375,0.01378,0.51145,0.49644,0.26936,0.24607,0.14021,0.47216,0.25109,0.22858,0.11026,1.81308,3.46401,2.99158,0.02865,0,0.000302,0.000302,0.000302
42,2087.95,1.31663,2.24536,1.79284,0.01481,0.53151,0.52599,0.24036,0.25061,0.1362,0.51275,0.23403,0.22399,0.10349,1.81442,3.62311,2.99191,0.0289,0,0.00029705,0.00029705,0.00029705
43,2138,1.18598,2.09295,1.58204,0.01217,0.41276,0.51182,0.24712,0.26289,0.15237,0.53496,0.24523,0.2605,0.12622,1.77423,3.32381,2.90696,0.02825,0,0.0002921,0.0002921,0.0002921
